url,title_tag,title_lengte,meta_description,meta_lengte
/eindhoven/stappen,Stappen in Eindhoven — kroegen & happen en stappen,51,"Stappen in Eindhoven? Onze top kroegen + happen en stappen tips. Eindig de avond bij De Jongens in Stadscafé Spijker.",122
/rotterdam,Uitgaan in Rotterdam — hotspots & live muziek,46,"Wat te doen in Rotterdam? Hotspots, het bijzondere restaurant met live muziek, kroegen — plus De Jongens in Café de Vrienden.",129
/rotterdam/wat-te-doen,Wat te doen in Rotterdam? Top 25 voor elk moment,49,"Wat te doen in Rotterdam? Ideeën voor vandaag, dit weekend, met kinderen — plus De Jongens in Café de Vrienden Live.",121
/rotterdam/uitjes,Uitjes in Rotterdam — leuke uitjes voor elk budget,51,"Uitjes in Rotterdam voor families, kinderen of low budget? Ontdek 15 ideeën. Boek De Jongens voor je team uitje.",115
/rotterdam/vrijgezellenfeest,Vrijgezellenfeest in Rotterdam — vrouwen & mannen,49,"Vrijgezellenfeest in Rotterdam voor vrouwen of mannen? Ontdek de leukste ideeën en boek De Jongens als avond-finale.",120
/rotterdam/restaurant-met-live-muziek,Restaurant met live muziek Rotterdam — het bijzondere,54,"Het bijzondere restaurant met live muziek in Rotterdam + alle andere opties. Dineren én live entertainment op één avond.",124
/rotterdam/cafe-met-live-muziek,Café met live muziek in Rotterdam,33,"De leukste cafés met live muziek in Rotterdam. Drinks + entertainment in één avond — soms met De Jongens live.",112
/rotterdam/bezienswaardigheden,Bezienswaardigheden in Rotterdam — top tips,44,"De top bezienswaardigheden in Rotterdam op een rij. Eindig je dag bij De Jongens in Café de Vrienden Live.",108
/rotterdam/date-activiteiten,Date in Rotterdam — 10 romantische ideeën,42,"Op date in Rotterdam? Ontdek 10 romantische ideeën en eindig de avond bij De Jongens in Café de Vrienden Live.",114
/rotterdam/trouwlocatie,Trouwlocaties in Rotterdam — bijzonder & sfeervol,50,"Op zoek naar een trouwlocatie in Rotterdam? Bekijk de mooiste plekken en boek De Jongens als bruiloftband.",109
/rotterdam/bedrijfsuitje,Bedrijfsuitje in Rotterdam — origineel & uniek,46,"Een onvergetelijk bedrijfsuitje in Rotterdam? Boek + boot? Wij regelen muziek + techniek voor jouw team.",105
/rotterdam/kroegen,Kroegen in Rotterdam — top 10 leukste plekken,45,"De 10 leukste kroegen in Rotterdam. Plus De Jongens live in Café de Vrienden Live.",83
/rotterdam/evenementenlocatie,Evenementenlocatie in Rotterdam — zakelijk & uniek,51,"Een evenementenlocatie in Rotterdam voor zakelijke events? Top opties incl. live muziek door De Jongens.",106
/rotterdam/live-muziek,Live muziek in Rotterdam — agenda & De Jongens,46,"Live muziek in Rotterdam? Bekijk de agenda en zie waar De Jongens deze week spelen in Café de Vrienden Live.",111
/rotterdam/feestlocatie,Feestlocatie in Rotterdam — klein tot groot,43,"Feestlocatie in Rotterdam zoeken? Bekijk de leukste locaties van klein tot groot — incl. live muziek door De Jongens.",120
/rotterdam/avondje-uit,Avondje uit in Rotterdam — plan je avond,40,"Een avondje uit in Rotterdam? Combineer eten, drinken en live muziek tot een perfecte avond met De Jongens.",107
/rotterdam/stappen,Stappen in Rotterdam — kroegen & happen en stappen,51,"Stappen in Rotterdam? Onze top kroegen + happen en stappen tips. Eindig bij De Jongens in Café de Vrienden Live.",117
/renesse,Renesse — wat te doen, strandtenten & uitgaan,46,"Op vakantie in Renesse? Ontdek strandtenten, activiteiten en uitgaan — plus De Jongens live in Bar de Stulp.",111
/renesse/strandtenten,Strandtenten in Renesse — top 10 aan zee,40,"De 10 mooiste strandtenten in Renesse op een rij. Plus waar De Jongens regelmatig live spelen aan zee.",105
/renesse/wat-te-doen,Wat te doen in Renesse? Top 20 ideeën,38,"Wat te doen in Renesse? Ideeën voor vandaag, dit weekend, met kinderen of bij regen — plus De Jongens in Bar de Stulp.",122
/renesse/vakantie,Vakantie in Renesse — gids & tips,33,"Op vakantie in Renesse? Onze complete gids met activiteiten, strandtenten en uitgaan — plus De Jongens in Bar de Stulp.",122
/renesse/activiteiten,Activiteiten in Renesse — alles om te doen,42,"Activiteiten in Renesse voor families of stellen. Van strand tot uitgaan — plus De Jongens live in Bar de Stulp.",115
/renesse/bezienswaardigheden,Bezienswaardigheden in Renesse — alles om te zien,49,"De top bezienswaardigheden in Renesse en omgeving. Eindig je dag bij De Jongens in Bar de Stulp.",98
/renesse/uitjes,Uitjes in Renesse — leuke ideeën aan zee,40,"Uitjes in Renesse voor families of stellen. Combineer strand en uitgaan — plus De Jongens live in Bar de Stulp.",112
/renesse/live-muziek,Live muziek in Renesse — De Jongens in Bar de Stulp,52,"De Jongens Van Je Weet Wel zijn elke week live in Bar de Stulp Renesse. Bekijk de agenda en kom langs.",105
/pianoshow,Pianoshow boeken | De meest geboekte van Nederland,51,"Boek dé pianoshow van Nederland. 400+ optredens per jaar, 5.0★ rating, alles-in-één. Vanaf €3.495. Check je datum direct.",125
/pianoshow/wat-kost-een-pianoshow,Wat kost een pianoshow? — Prijzen & factoren,46,"Wat kost een pianoshow? Vanaf €3.495 alles-in-één incl. muziek, licht, geluid en technicus. Bekijk de factoren.",114
/pianobar,Pianobar op locatie boeken — de grootste van NL,46,"Pianobar op jouw feest? Wij brengen de show naar je toe. 400+ optredens per jaar — vanaf €3.495 alles-in-één.",115
/coverband,Coverband boeken | Direct bij de band — geen tussenpersoon,58,"Coverband boeken? Direct bij dé band — geen platform-marge. Vanaf €3.495 alles-in-één, 5.0★ rating, 350+ nummers.",119
/coverband/coverband-bruiloft,Coverband voor bruiloft — live op jullie trouwdag,49,"Een coverband voor jullie bruiloft? De meest geboekte van NL. Vanaf €3.995 alles-in-één. Check jullie datum.",111
/coverband/coverband-boeken,Coverband boeken — check je datum & offerte,44,"Coverband boeken in 3 stappen: check je datum, ontvang offerte, bevestiging. Direct bij de band. 5.0★ rating.",114
/coverband/wat-kost-een-coverband,Wat kost een coverband? — Prijzen vanaf €3.495,46,"Wat kost een coverband? Vanaf €3.495 alles-in-één. Wat zit in de prijs en welke factoren bepalen het uiteindelijke bedrag?",126
/bruiloftband,Band voor bruiloft — onvergetelijk trouwfeest | De Jongens,60,"Band voor je bruiloft? De meest geboekte van NL maakt jullie trouwfeest onvergetelijk. Vanaf €3.995. 5.0★ rating.",118
/bruiloftband/live-muziek-bruiloft,Live muziek voor je bruiloft — band, repertoire & tips,55,"Live muziek voor je bruiloft? Onze band speelt van ceremonie tot dansvloer. Vanaf €3.995 alles-in-één. Check jullie datum.",126
/bruiloftband/wat-kost-een-bruiloftband,Wat kost een bruiloftband? Prijzen & factoren,46,"Wat kost een bruiloftband? Vanaf €3.995 alles-in-één incl. muziek, licht, geluid. Bekijk de factoren en check jullie datum.",125
/bruiloftband/bruiloftband,Bruiloftband boeken — direct bij de band | De Jongens,53,"Bruiloftband boeken? Direct bij dé band — geen tussenpersoon. Vanaf €3.995. 5.0★ rating en 400+ optredens per jaar.",116
/bedrijfsfeest-band,Bedrijfsfeest band | Heineken & Rabobank kozen ons,51,"Bedrijfsfeest band boeken? De meest geboekte van NL — Heineken, Rabobank, Booking.com. Vanaf €3.995 alles-in-één.",115
/bedrijfsfeest-band/personeelsfeest-band,Band voor personeelsfeest — alles-in-één | De Jongens,53,"Een band voor je personeelsfeest? Wij regelen muziek + techniek alles-in-één. Heineken & Rabobank gingen voor.",111
/bedrijfsfeest-band/bedrijfsjubileum,Band voor bedrijfsjubileum — live entertainment,47,"Een band voor je bedrijfsjubileum? De meest geboekte van NL maakt je jubileumfeest onvergetelijk. Vanaf €3.995.",112
/bedrijfsfeest-band/wat-kost-een-bedrijfsfeest-band,Wat kost een bedrijfsfeest band? Prijzen en factoren,53,"Wat kost een bedrijfsfeest band? Vanaf €3.995 alles-in-één. Bekijk wat in de prijs zit en de bepalende factoren.",114
